                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.8941,                 5.4476,                 2.9453,                      0,                      0,                      0,                      0,                 2.8033,                 6.0616,                 3.2908,                      0,                      0,                      0
                      2,                  2.952,                 5.2877,                 2.7645,                      0,                      0,                      0,                      0,                 2.8744,                 6.0861,                 3.2494,             1.1782e-06,             1.1782e-06,             1.1782e-06
                      3,                 3.0516,                 5.3026,                 2.9168,                      0,                      0,                      0,                      0,                 3.0132,                 6.0637,                 3.2072,             2.3329e-06,             2.3329e-06,             2.3329e-06
                      4,                   2.83,                 5.3033,                 2.7107,                      0,                      0,                      0,                      0,                 3.0738,                  5.908,                 3.1444,              3.464e-06,              3.464e-06,              3.464e-06
                      5,                 2.9807,                 5.3322,                 2.8746,                      0,                      0,                      0,                      0,                 3.0828,                 5.9164,                 3.0456,             4.5715e-06,             4.5715e-06,             4.5715e-06
                      6,                 3.0882,                 5.1783,                 3.0879,                      0,                      0,                      0,                      0,                 3.2902,                  6.044,                 3.2031,             5.6555e-06,             5.6555e-06,             5.6555e-06
                      7,                 2.7236,                 5.3774,                 2.8217,                      0,                      0,                      0,                      0,                 3.3811,                 6.0759,                 3.1366,             6.7159e-06,             6.7159e-06,             6.7159e-06
                      8,                 2.9501,                 5.3095,                 2.9488,                      0,                      0,                      0,                      0,                 3.5107,                 6.0043,                 3.1365,             7.7527e-06,             7.7527e-06,             7.7527e-06
                      9,                 2.7683,                 5.3639,                 2.8937,                      0,                      0,                      0,                      0,                 3.5126,                 6.0335,                 3.1449,              8.766e-06,              8.766e-06,              8.766e-06
                     10,                 3.1501,                 5.1736,                 3.0228,                      0,                      0,                      0,                      0,                 3.5571,                 6.0319,                  3.193,             9.7557e-06,             9.7557e-06,             9.7557e-06
                     11,                 2.9394,                 5.3657,                 2.9084,                      0,                      0,                      0,                      0,                 3.5072,                  6.065,                 3.1999,             1.0722e-05,             1.0722e-05,             1.0722e-05
                     12,                 2.5676,                 5.3109,                 2.6077,                      0,                      0,                      0,                      0,                 3.4552,                 6.0571,                 3.2172,             1.1664e-05,             1.1664e-05,             1.1664e-05
                     13,                 2.9827,                 5.2478,                 2.8185,                      0,                      0,                      0,                      0,                 3.4048,                 6.0949,                 3.2041,             1.2584e-05,             1.2584e-05,             1.2584e-05
                     14,                 3.5163,                 5.3215,                 3.2106,                      0,                      0,                      0,                      0,                 3.3779,                 6.1063,                 3.2289,             1.3479e-05,             1.3479e-05,             1.3479e-05
                     15,                 2.7579,                  5.208,                 2.7194,                      0,                      0,                      0,                      0,                 3.3568,                 6.1053,                 3.2274,             1.4351e-05,             1.4351e-05,             1.4351e-05
                     16,                 3.0269,                 5.0354,                 2.8058,                      0,                      0,                      0,                      0,                 3.2722,                 6.0508,                 3.2499,             1.5199e-05,             1.5199e-05,             1.5199e-05
                     17,                 3.1524,                 5.2363,                 2.8261,                      0,                      0,                      0,                      0,                 3.2489,                 6.0407,                 3.2407,             1.6024e-05,             1.6024e-05,             1.6024e-05
                     18,                 2.9977,                 5.3324,                 2.8908,                      0,                      0,                      0,                      0,                 3.2489,                 6.0407,                 3.2407,             1.6825e-05,             1.6825e-05,             1.6825e-05
                     19,                 2.8119,                 5.1962,                 2.7306,                      0,                      0,                      0,                      0,                 3.1456,                 5.9523,                 3.2376,             1.7603e-05,             1.7603e-05,             1.7603e-05
                     20,                 2.8209,                 5.4576,                 2.8675,                      0,                      0,                      0,                      0,                 3.1456,                 5.9523,                 3.2376,             1.8357e-05,             1.8357e-05,             1.8357e-05
                     21,                 3.2453,                 5.3178,                 3.2321,                      0,                      0,                      0,                      0,                 3.0636,                 5.9013,                 3.2164,             1.9088e-05,             1.9088e-05,             1.9088e-05
                     22,                 2.9795,                 5.2137,                 2.9333,                      0,                      0,                      0,                      0,                 3.0636,                 5.9013,                 3.2164,             1.9795e-05,             1.9795e-05,             1.9795e-05
                     23,                 2.8658,                 5.2105,                 2.9125,                      0,                      0,                      0,                      0,                 3.0761,                 5.9092,                 3.2001,             2.0478e-05,             2.0478e-05,             2.0478e-05
                     24,                 3.0396,                 5.3079,                 3.0333,                      0,                      0,                      0,                      0,                 3.0761,                 5.9092,                 3.2001,             2.1138e-05,             2.1138e-05,             2.1138e-05
                     25,                 3.0398,                 5.1465,                  2.826,                      0,                      0,                      0,                      0,                 3.0333,                 5.8724,                 3.1938,             2.1774e-05,             2.1774e-05,             2.1774e-05
                     26,                 2.9209,                 5.2175,                 2.9194,                      0,                      0,                      0,                      0,                 3.0333,                 5.8724,                 3.1938,             2.2387e-05,             2.2387e-05,             2.2387e-05
                     27,                 3.0129,                 5.1476,                 2.9171,                      0,                      0,                      0,                      0,                  2.993,                 5.8513,                 3.2127,             2.2976e-05,             2.2976e-05,             2.2976e-05
                     28,                 2.8944,                 5.0877,                 2.6871,                      0,                      0,                      0,                      0,                  2.993,                 5.8513,                 3.2127,             2.3542e-05,             2.3542e-05,             2.3542e-05
                     29,                 2.7681,                 5.1931,                 2.7729,                      0,                      0,                      0,                      0,                 2.9704,                 5.8432,                   3.21,             2.4084e-05,             2.4084e-05,             2.4084e-05
                     30,                 2.7529,                 5.0695,                 2.8714,                      0,                      0,                      0,                      0,                 2.9704,                 5.8432,                   3.21,             2.4602e-05,             2.4602e-05,             2.4602e-05
                     31,                 3.1111,                 5.1804,                 2.9011,                      0,                      0,                      0,                      0,                 2.9483,                 5.8371,                 3.2276,             2.5097e-05,             2.5097e-05,             2.5097e-05
                     32,                 2.4234,                 5.0554,                 2.6376,                      0,                      0,                      0,                      0,                 2.9483,                 5.8371,                 3.2276,             2.5568e-05,             2.5568e-05,             2.5568e-05
                     33,                 2.9846,                  5.168,                 2.9176,                      0,                      0,                      0,                      0,                 2.8913,                   5.85,                 3.2233,             2.6016e-05,             2.6016e-05,             2.6016e-05
                     34,                 2.8754,                 5.1007,                 2.8389,                      0,                      0,                      0,                      0,                 2.8913,                   5.85,                 3.2233,              2.644e-05,              2.644e-05,              2.644e-05
                     35,                 2.8847,                 5.1723,                 2.8953,                      0,                      0,                      0,                      0,                 2.8357,                 5.8507,                 3.2106,             2.6841e-05,             2.6841e-05,             2.6841e-05
                     36,                 2.9511,                  5.181,                 2.8933,                      0,                      0,                      0,                      0,                 2.8357,                 5.8507,                 3.2106,             2.7218e-05,             2.7218e-05,             2.7218e-05
                     37,                 2.7829,                 5.0877,                 2.7534,                      0,                      0,                      0,                      0,                  2.813,                 5.8457,                 3.1944,             2.7572e-05,             2.7572e-05,             2.7572e-05
                     38,                 2.5999,                  5.126,                 2.6093,                      0,                      0,                      0,                      0,                  2.813,                 5.8457,                 3.1944,             2.7902e-05,             2.7902e-05,             2.7902e-05
